age,sex,race,marital_status,education,employment,income,books_read_count,read_print_raw,read_audio_raw,read_ebook_raw,last_book_source,read_news,read_magazines,read_print,read_audio,read_ebook,reader_segment,is_digital_adopter
22,Male,White,Never been married,Post-graduate training/professional school after college,Employed part-time,"$10,000 to under $20,000",97,Yes,Yes,Yes,Got the book some other way,Yes,Yes,1,1,1,Hybrid,1
21,Male,White,Living with a partner,"Some college, no 4-year degree",Employed part-time,"Less than $10,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,1,0,1,Hybrid,1
20,Female,White,Living with a partner,High school graduate,Employed part-time,"$20,000 to under $30,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
19,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
18,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
18,Female,White,Living with a partner,"Some college, no 4-year degree",Not employed for pay,"$30,000 to under $40,000",97,Yes,No,No,Got the book some other way,Yes,No,1,0,0,Print-only,0
17,Female,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,No,No,1,0,0,Print-only,0
17,Female,White,Never been married,High school incomplete,Employed part-time,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,No,No,1,0,0,Print-only,0
16,Female,White,Never been married,High school incomplete,Not employed for pay,"$100,000 to under $150,000",97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
16,Female,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a library,No,No,1,0,0,Print-only,0
64,Female,Native American/American Indian,Divorced,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",96,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
40,Male,Black or African-American,Divorced,High school graduate,Retired,"Less than $10,000",96,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
67,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",96,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
66,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",96,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes,1,1,0,Hybrid,1
65,Female,White,Divorced,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",96,Yes,No,No,Borrowed the book from a library,No,Yes,1,0,0,Print-only,0
57,Female,White,Divorced,"Technical, trade or vocational school AFTER high school",Employed full-time,"$20,000 to under $30,000",96,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
57,Female,White,Married,High school graduate,Retired,"$100,000 to under $150,000",96,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
56,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",96,Yes,Yes,Yes,Borrowed the book from a library,No,Yes,1,1,1,Hybrid,1
53,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",96,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
53,Female,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,96,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0,Hybrid,1
52,Female,White,Never been married,Post-graduate training/professional school after college,Employed part-time,"9$100,000 to under $150,000",96,Yes,Yes,No,Purchased the book,No,Yes,1,1,0,Hybrid,1
52,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",96,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
48,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",96,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
47,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",96,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
28,Female,White,Single,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",96,Yes,Yes,Yes,Purchased the book,No,Yes,1,1,1,Hybrid,1
74,Male,White,Married,High school graduate,Retired,Refused,90,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0,Print-only,0
33,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",90,Yes,Yes,No,Borrowed the book from a library,Yes,No,1,1,0,Hybrid,1
47,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",84,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
53,Female,Black or African-American,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",80,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
69,Female,White,Never been married,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",80,Yes,Yes,No,Got the book some other way,No,Yes,1,1,0,Hybrid,1
65,Female,White,Married,High school graduate,Retired,Refused,80,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
64,Female,White,Married,"Some college, no 4-year degree",Retired,Refused,80,Yes,Yes,No,Purchased the book,No,Yes,1,1,0,Hybrid,1
54,Female,White,Living with a partner,"Some college, no 4-year degree",Disabled,"$30,000 to under $40,000",80,Yes,No,No,Got the book some other way,Yes,No,1,0,0,Print-only,0
18,Male,White,Single,High school graduate,Employed full-time,"Less than $10,000",80,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
65,Male,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",76,No,No,Yes,8,Yes,Yes,0,0,1,Digital/Audio-only,1
24,Male,Mixed race,Never been married,Post-graduate training/professional school after college,Not employed for pay,"$50,000 to under $75,000",75,Yes,No,Yes,Purchased the book,Yes,No,1,0,1,Hybrid,1
54,Female,Black or African-American,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0,Print-only,0
81,Female,White,Widowed,College graduate,Not employed for pay,"$75,000 to under $100,000",75,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,1,1,0,Hybrid,1
78,Female,White,Widowed,High school graduate,Retired,"9$100,000 to under $150,000",75,Yes,No,No,Got the book some other way,Yes,No,1,0,0,Print-only,0
73,Female,White,Married,College graduate,Employed part-time,"$30,000 to under $40,000",75,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
68,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,1,0,0,Print-only,0
65,Female,White,Divorced,High school graduate,Retired,"$30,000 to under $40,000",75,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0,Print-only,0
62,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",75,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
61,Female,White,Married,High school graduate,Retired,"$100,000 to under $150,000",75,Yes,Yes,No,Purchased the book,Yes,Yes,1,1,0,Hybrid,1
55,Female,White,Widowed,College graduate,Employed full-time,"$40,000 to under $50,000",75,Yes,No,No,Got the book some other way,Yes,No,1,0,0,Print-only,0
48,Female,White,Married,College graduate,Not employed for pay,"9$100,000 to under $150,000",75,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,1,1,0,Hybrid,1
48,Male,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",75,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
45,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,Refused,75,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,1,1,1,Hybrid,1
